3.000e+02   1.522e+01
3.245e+02   1.925e+01
3.490e+02   2.294e+01
3.735e+02   2.611e+01
3.980e+02   2.868e+01
4.224e+02   3.061e+01
4.469e+02   3.195e+01
4.714e+02   3.273e+01
4.959e+02   3.304e+01
5.204e+02   3.295e+01
5.449e+02   3.253e+01
5.694e+02   3.186e+01
5.939e+02   3.099e+01
6.184e+02   2.999e+01
6.429e+02   2.888e+01
6.673e+02   2.771e+01
6.918e+02   2.650e+01
7.163e+02   2.528e+01
7.408e+02   2.407e+01
7.653e+02   2.287e+01
7.898e+02   2.171e+01
8.143e+02   2.058e+01
8.388e+02   1.950e+01
8.633e+02   1.846e+01
8.878e+02   1.746e+01
9.122e+02   1.652e+01
9.367e+02   1.562e+01
9.612e+02   1.477e+01
9.857e+02   1.396e+01
1.010e+03   1.321e+01
1.035e+03   1.249e+01
1.059e+03   1.181e+01
1.084e+03   1.118e+01
1.108e+03   1.058e+01
1.133e+03   1.001e+01
1.157e+03   9.484e+00
1.182e+03   8.985e+00
1.206e+03   8.515e+00
1.231e+03   8.073e+00
1.255e+03   7.658e+00
1.280e+03   7.267e+00
1.304e+03   6.898e+00
1.329e+03   6.552e+00
1.353e+03   6.225e+00
1.378e+03   5.918e+00
1.402e+03   5.628e+00
1.427e+03   5.355e+00
1.451e+03   5.097e+00
1.476e+03   4.855e+00
1.500e+03   4.625e+00
